Type,job_title,job_area,salary-bot,salary-top,year,education,company_title,company_info,skill,publis_name,welfare,job_url
网络工程师,网络工程师,乌鲁木齐·沙依巴克区·西山新区,10833,16250,1-3,本科,恒创志远,计算机硬件不需要融资20-99人,网络工程师证 网络自动化 网络规划设计,李女士人事,年终奖，节日福利，通讯补贴，员工旅游，加班补助,https://www.zhipin.com/job_detail/e3fbd6ca4fa840151n173dq6EFVV.html
网络工程师,网络工程师,杭州·滨江区·长河,6000,8000,经验不限,大专,雅格纳科技,信息安全不需要融资20-99人,Windows CCNP证书 网络工程师证 硬件实施 TCP,胡女士HR,零食下午茶，出差补贴，带薪年假，员工旅游，年终奖，节日福利，五险一金,https://www.zhipin.com/job_detail/b4184fda5f80ed271nx52t-_FltW.html
网络工程师,网络工程师,自贡·自流井区·汇东,3000,8000,经验不限,学历不限,万信通,通信/网络设备0-20人,网络工程师证 网络设备 网络安全 计算机软件,吴先生招聘者, ,https://www.zhipin.com/job_detail/d4dee1f43fb6c8401nZ_09u_F1dW.html
网络工程师,网络工程师,深圳·南山区·科技园,7000,8000,1-3,大专,易聆科,信息安全未融资100-499人,故障处理 Windows Linux CCNP证书,戴女士招聘,补充医疗保险，五险一金，带薪年假，节日福利，年终奖，定期体检,https://www.zhipin.com/job_detail/e04593cee9fa4cc91XR-2ty1EFVV.html
网络工程师,网络工程师,宁波,7000,11000,1-3,本科,鄞银金科,互联网金融未融资100-499人,网络运维 运维,金女士Hrm,年终奖，节日福利，五险一金，带薪年假，定期体检,https://www.zhipin.com/job_detail/6a16353a2a4ca9b61nV70ty_F1ZQ.html
网络工程师,网络工程师,郑州·管城回族区·经开区,5000,10000,3-5,大专,中宇,通信/网络设备20-99人,网络规划设计,徐女士人事, ,https://www.zhipin.com/job_detail/b34a32ae687540fc1nF-2tu1F1pW.html
网络工程师,网络工程师,兰州·城关区·拱星墩,4000,5000,经验不限,大专,万科信息,计算机硬件B轮20-99人,网络工程师证,裴女士商务经理,五险一金，节日福利，员工旅游，零食下午茶,https://www.zhipin.com/job_detail/bf71cd5a142569c91XR62dy7GVJR.html
网络工程师,网络工程师,东莞,6000,8000,1-3,大专,源禾智,智能硬件不需要融资100-499人,运维 安全运维 IT技术支持,钟女士招聘经理,五险一金，全勤奖，带薪年假，节日福利，零食下午茶，年终奖，补充医疗保险,https://www.zhipin.com/job_detail/f202e70a1eee1f991nV429S4FFFX.html
网络工程师,网络工程师,青岛·市北区·洪山坡,5000,10000,1-3,本科,青岛森特瑞,贸易/进出口未融资100-499人,数据库 数据挖掘 IT支持,王先生总经理,五险一金，节日福利，餐补，补充医疗保险，带薪年假，全勤奖，员工旅游，定期体检，股票期权，加班补助，年终奖,https://www.zhipin.com/job_detail/ea850df74c15042f1nd639W9F1I~.html
网络工程师,网络工程师,西宁·城东区·火车站,7583,13000,1-3,本科,万里红科技有限公司,计算机软件未融资500-999人,CCNP证书 运维通信资格证书 CCIE证书 RHCSA,黄先生招聘者,交通补助，定期体检，带薪年假，餐补，五险一金,https://www.zhipin.com/job_detail/00225f36a83240601XR53ty6FlBS.html
